cust_id,lookalikes
C0001,"[('C0023', 0.9951516812123495), ('C0106', 0.9973725115347696), ('C0152', 0.9989158211205721)]"
C0002,"[('C0166', 0.990715635697686), ('C0134', 0.9914674814745549), ('C0029', 0.9981796484226471)]"
C0003,"[('C0036', 0.9735436862474829), ('C0170', 0.9799108653118079), ('C0052', 0.992106950365674)]"
C0004,"[('C0068', 0.9921397425876322), ('C0145', 0.9939938660737625), ('C0175', 0.994692321406702)]"
C0005,"[('C0132', 0.9910795356452677), ('C0159', 0.9939298931962673), ('C0070', 0.9952948793017745)]"
C0006,"[('C0036', 0.9915764184914253), ('C0129', 0.9930385231698553), ('C0026', 0.9943966542587316)]"
C0007,"[('C0079', 0.9946368109830536), ('C0095', 0.9951219125532602), ('C0074', 0.9966042026093692)]"
C0008,"[('C0084', 0.9823634054099134), ('C0098', 0.9852802052824501), ('C0172', 0.9853632925543246)]"
C0009,"[('C0192', 0.9941889586867166), ('C0077', 0.9958075857976594), ('C0025', 0.9963705874303237)]"
C0010,"[('C0134', 0.9955192028793673), ('C0103', 0.9959223111626713), ('C0199', 0.9966349134235817)]"
C0011,"[('C0053', 0.9930807535980214), ('C0133', 0.9936421307515867), ('C0023', 0.9941331375884153)]"
C0012,"[('C0143', 0.9958632586509352), ('C0057', 0.9958830641476677), ('C0028', 0.9958904741348817)]"
C0013,"[('C0087', 0.9939663449852321), ('C0195', 0.9940031868210846), ('C0059', 0.9986385631640305)]"
C0014,"[('C0097', 0.961425349980654), ('C0058', 0.987991025661538), ('C0033', 0.9894743514601351)]"
C0015,"[('C0063', 0.9839300716201818), ('C0074', 0.9882539366297849), ('C0120', 0.9932033400058635)]"
C0016,"[('C0177', 0.9924864532561452), ('C0064', 0.9952304708498692), ('C0183', 0.9998390073137503)]"
C0017,"[('C0081', 0.9901665522639066), ('C0075', 0.9947923562485502), ('C0156', 0.9953013003952424)]"
C0018,"[('C0187', 0.9849505816155231), ('C0117', 0.9884173407690287), ('C0035', 0.9932525379399378)]"
C0019,"[('C0032', 0.9924633485445835), ('C0094', 0.9939110927288287), ('C0139', 0.9988581497221847)]"
C0020,"[('C0144', 0.9793204561308179), ('C0080', 0.9881358750943349), ('C0110', 0.9959578389287563)]"
